title,min,max,mean
식당직관형,-17.13636364,15,-2.711543311
외부영향형,-10.84090909,21.68181818,3.57880469
도움요청형,-9.818181818,10.09090909,-1.317173118
즉흥선택형,-12.65909091,17,-0.896576724
새로움추구형,-9.659090909,18.88636364,8.09576346
음식공유형,-5.431818182,12.97727273,6.516927248
시각중시형,-4.977272727,12.81818182,5.739314084
소통회피형,-28.36363636,47.63636364,16.66883117
숙소투자형,-23.38636364,55.40909091,28.02720338
숙소자립형,-25.18181818,27.75,-10.24974782
신속추구형,-10.53658537,11.24390244,-2.980819323
럭셔리형,14.46341463,35.87804878,26.54487331
서비스경험형,14.92682927,31.70731707,23.54554988
불편회피형,9.853658537,25.14634146,17.87960488
계획무관형,-21.85365854,-11.6097561,-15.35347248
카페즉흥형,-43.04878049,23.17073171,-9.387571462
리뷰무관심형,-19.09756098,38.82926829,8.857514969
리뷰검증형,-38.82926829,19.09756098,-8.857514969
감성사진형,-25.95121951,33.29268293,7.002097358
카페투자형,-10.63414634,36.04878049,9.659010182
현지체험형,-23.56097561,24.97560976,5.2566219